Date,Hill,Category,Name,Difficulty,Pricing
2024-08-27 12:00:00,Fernie,Skiing,Night Skiing Experience,Casual,100
2024-12-21 13:00:00,Fernie,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2024-07-12 10:00:00,Fernie,Mountain Adventure,Snowshoeing Expedition,Casual,55
2024-04-08 12:00:00,Fernie,Mountain Adventure,Snowshoeing Expedition,Casual,55
2023-07-14 16:00:00,Fernie,Mountain Adventure,Ski Resort Charity Event,Casual,55
2023-10-29 14:00:00,Fernie,Mountain Dining,Torchlight Parade,Casual,50
2024-06-05 10:00:00,Fernie,Ski Equipment,Ski Instructor Workshop,Casual,75
2024-07-12 12:00:00,Fernie,Mountain Dining,Mountain Restaurant Tasting,Casual,50
2024-07-31 10:00:00,Fernie,Mountain Adventure,Ski Resort Charity Event,Casual,55
2025-02-25 16:00:00,Fernie,Mountain Dining,Torchlight Parade,Casual,50
2024-06-20 09:00:00,Fernie,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2024-11-26 16:00:00,Fernie,Ski Competitions,Ski Cross Competition,Casual,120
2024-01-11 15:00:00,Fernie,Mountain Dining,Mountain Restaurant Tasting,Casual,50
2024-09-12 13:00:00,Fernie,Skiing,Ski Marathon,Casual,100
2023-10-04 12:00:00,Fernie,Ski Equipment,Ski Gear Expo,Casual,75
2024-09-23 16:00:00,Fernie,Safety Lessons,Ski Patrol Demonstration,Casual,25
2023-08-18 10:00:00,Fernie,Skiing,Ski and Snowboard Festival,Casual,100
2023-09-13 15:00:00,Fernie,Mountain Adventure,Ski Resort Charity Event,Casual,55
2024-05-21 11:00:00,Fernie,Safety Lessons,Ski Patrol Demonstration,Casual,25
2024-08-01 11:00:00,Fernie,Mountain Adventure,Snowshoeing Expedition,Casual,55
2024-01-02 12:00:00,Fernie,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2025-02-05 10:00:00,Fernie,Ski Competitions,Ski Cross Competition,Casual,120
2023-11-15 14:00:00,Fernie,Safety Lessons,Ski Patrol Demonstration,Casual,25
2024-08-13 14:00:00,Fernie,Ski Equipment,Ski Gear Expo,Casual,75
2024-09-03 16:00:00,Fernie,Skiing,Ski Marathon,Casual,100
2024-08-24 16:00:00,Fernie,Mountain Dining,Mountain Restaurant Tasting,Casual,50
2024-07-20 13:00:00,Fernie,Mountain Dining,Torchlight Parade,Casual,50
2023-09-17 13:00:00,Fernie,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2023-08-02 15:00:00,Fernie,Mountain Adventure,Ski Resort Charity Event,Casual,55
2025-02-06 11:00:00,Fernie,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2024-03-18 13:00:00,Fernie,Apres-Ski,Apres-Ski Party,Casual,30
2024-10-29 13:00:00,Fernie,Skiing,Night Skiing Experience,Casual,100
2025-01-07 10:00:00,Fernie,Safety Lessons,Ski Patrol Demonstration,Casual,25
2024-03-16 13:00:00,Fernie,Ski Competitions,Ski Cross Competition,Casual,120
2024-02-01 12:00:00,Fernie,Ski Equipment,Ski Gear Expo,Casual,75
2023-08-09 15:00:00,Fernie,Skiing,Night Skiing Experience,Casual,100
2024-11-13 13:00:00,Fernie,Mountain Dining,Torchlight Parade,Casual,50
2025-02-01 14:00:00,Fernie,Safety Lessons,Ski Patrol Demonstration,Casual,25
2024-10-14 15:00:00,Fernie,Mountain Dining,Torchlight Parade,Casual,50
2023-11-06 12:00:00,Fernie,Snowboarding,Ski Gear Swap,Casual,100
2024-10-05 10:00:00,Fernie,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2024-12-27 11:00:00,Fernie,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2023-10-21 15:00:00,Fernie,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2023-10-03 14:00:00,Fernie,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2023-08-11 13:00:00,Fernie,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
